,original,filenames,spec,concept,adj,syn_chosen_spec,syn_chosen_concept
bay_window,baywindow,"['baywindow1.jpg', 'baywindow2.jpg', 'baywindow4.jpg', 'baywindow5.jpg']",,,,,
beach,beach,"['beach1.jpeg', 'beach2.jpg', 'beach3.jpg', 'beach4.jpg']",,,,,
bedroom,bedroom,"['bedroom2.jpeg', 'bedroom3.jpg', 'bedroom4.jpeg', 'bedroom6.jpg']",,,,,
bike_rack,bikerack,"['bikerack1.jpg', 'bikerack2.jpg', 'bikerack3.jpg', 'bikerack4.jpg']",bike,rack,,,rack.n.01
bistro_outdoor,bistrooutdoor,"['bistrooutdoor2.jpg', 'bistrooutdoor3.jpg', 'bistrooutdoor5.jpg', 'bistrooutdoor6.jpg']",,bistro,,,bistro.n.01
bleachers,bleachers,"['bleachers5.jpg', 'bleachers6.jpg', 'bleachers7.jpg', 'bleachers8.jpg']",,,,,
boardwalk,boardwalk,"['boardwalk.jpg', 'boardwalk2.jpg', 'boardwalk4.jpg', 'boardwalk6.jpg']",,,,,
boat_exterior,onboat,"['onboat5.jpg', 'onboat6.jpg', 'onboat7.jpg', 'onboat9.jpg']",,boat,,,boat.n.01
botanical_garden,botanicalGarden,"['botanicalGarden4.jpg', 'botanicalGarden5.jpg', 'botanicalGarden6.jpg', 'botanicalGarden7.jpg']",,,,,
bowling_alley,bowlingalley,"['bowlingalley2.jpg', 'bowlingalley3.jpg', 'bowlingalley5.jpg', 'bowlingalley6.jpg']",,,,,
break_room_indoor,breakroom,"['breakroom2.jpg', 'breakroom3.jpg', 'breakroom4.jpg', 'breakroom5.jpg']",break,room,,,room.n.01
brewery,brewery,"['brewery1.jpg', 'brewery2.jpg', 'brewery3.jpg', 'brewery4.jpg']",,,,,
bridal_boutique,bridalboutique,"['bridalboutique2.jpg', 'bridalboutique3.jpg', 'bridalboutique4.jpg', 'bridalboutique6.jpg']",bridal,boutique,,,boutique.n.01
bridge,bridge,"['bridge3.jpg', 'bridge5.jpg', 'bridge6.jpg', 'bridge7.jpg']",,,,,
bus_shelter_outdoor,bus_shelter,"['bus_shelter.jpg', 'bus_shelter3.jpg', 'bus_shelter4.jpg', 'bus_shelter7.jpg']",bus,shelter,,,shelter.n.02
cabana,cabana,"['cabana1.jpg', 'cabana2.jpg', 'cabana3.jpg', 'cabana4.jpeg']",,,,,
cabin,cabin,"['cabin3.jpg', 'cabin4.jpg', 'cabin5.jpg', 'cabin6.jpg', 'cabinIndoors.jpg', 'cabinIndoors3.jpg', 'cabinIndoors4.jpg', 'cabinIndoors5.jpg']",,,,,
cabin_indoor,cabinIndoors,"['cabinIndoors.jpg', 'cabinIndoors3.jpg', 'cabinIndoors4.jpg', 'cabinIndoors5.jpg']",,cabin,,,cabin.n.02
cafeteria,cafeteria,"['cafeteria1.jpg', 'cafeteria3.jpg', 'cafeteria5.jpg', 'cafeteria6.jpg']",,,,,
campsite,campsite,"['campsite.jpg', 'campsite3.jpg', 'campsite6.jpg', 'campsite7.jpg']",,,,,
campus_quad,campusquad,"['campusquad1.jpg', 'campusquad2.jpg', 'campusquad3.jpg', 'campusquad4.jpg']",campus,quad,,,quad.n.04
canyon,canyon,"['canyon.jpg', 'canyon3.jpg', 'canyon5.jpg', 'canyon6.jpg']",,,,,
car-mechanic,carmechanic,"['carmechanic.jpg', 'carmechanic2.jpg', 'carmechanic3.jpg', 'carmechanic4.jpeg']",,car-mechanic,,,automobile_mechanic.n.01
car_factory,carFactory,"['carFactory1.jpg', 'carFactory2.jpg', 'carFactory3.jpg', 'carFactory4.jpeg']",,,,,
car_racetrack_outdoor,racecarcourse,"['racecarcourse.jpg', 'racecarcourse2.jpg', 'racecarcourse3.jpg', 'racecarcourse8.jpg']",car,racetrack,,,racetrack.n.01
car_showroom_indoor,auto_showroom,"['auto_showroom1.jpg', 'auto_showroom3.jpg', 'auto_showroom4.jpg', 'auto_showroom5.jpg']",car,showroom,,,showroom.n.01
car_washing,carwash,"['carwash1.jpg', 'carwash2.jpg', 'carwash3.jpg', 'carwash4.jpg']",car,washing,,,wash.n.02
cargo,cargo,"['cargo2.jpg', 'cargo3.jpg', 'cargo4.jpg', 'cargo5.jpg']",,,,,
casino,casino,"['casino1.jpg', 'casino3.jpg', 'casino4.jpg', 'casino5.jpg']",,,,,
castle,castle,"['castle2.jpg', 'castle3.jpg', 'castle4.jpg', 'castle6.jpg']",,,,,
cave,cave,"['cave.jpg', 'cave4.jpg', 'cave5.jpg', 'cave6.jpg']",,,,,
cemetery,cemetery,"['cemetery.jpg', 'cemetery3.jpg', 'cemetery5.jpg', 'cemetery6.jpg']",,,,,
checkout_counter,checkoutcounter,"['checkoutcounter2.jpg', 'checkoutcounter5.jpg', 'checkoutcounter7.jpg', 'checkoutcounter9.jpg']",,,,,
chemical_plant,chemicalplant,"['chemicalplant1.jpg', 'chemicalplant2.jpg', 'chemicalplant3.jpg', 'chemicalplant4.jpg']",,,,,
chicken_coop,chickenCoop,"['chickenCoop.jpg', 'chickenCoop3.jpeg', 'chickenCoop7.jpg', 'chickenCoop8.jpg']",,,,,
childs_room,childsroom,"['childsroom2.jpg', 'childsroom3.jpg', 'childsroom4.jpg', 'childsroom7.jpg']",childs,room,,,room.n.01
church,church,"['church3.jpg', 'church4.jpg', 'church6.jpg', 'church8.jpg', 'churchInside1.jpg', 'churchInside2.jpg', 'churchInside3.jpg', 'churchInside4.jpg']",,,,,
church_indoor,churchInside,"['churchInside1.jpg', 'churchInside2.jpg', 'churchInside3.jpg', 'churchInside4.jpg']",,church,,,church.n.02
circus,circus,"['circus1.jpg', 'circus2.jpg', 'circus3.jpg', 'circus4.jpg']",,,,,
city_street,citystreet,"['citystreet10.jpg', 'citystreet11.jpg', 'citystreet8.jpg', 'citystreet9.jpg']",city,street,,,street.n.01
classroom,classroom,"['classroom1.jpg', 'classroom2.jpg', 'classroom4.jpg', 'classroom5.jpg']",,,,,
cliff,cliff,"['cliff2.jpg', 'cliff3.jpg', 'cliff4.jpg', 'cliff5.jpg']",,,,,
closet,closet,"['closet.jpg', 'closet4.jpg', 'closet5.jpg', 'closet7.jpg']",,,,,
clothing_store,clothingstore,"['clothingstore2.jpg', 'clothingstore3.jpg', 'clothingstore5.jpg', 'clothingstore7.jpg']",,,,,
cockpit,cockpit,"['cockpit1.jpg', 'cockpit2.jpg', 'cockpit3.jpg', 'cockpit4.jpg']",,,,,
coffee_shop,coffeeshop,"['coffeeshop3.jpg', 'coffeeshop4.jpg', 'coffeeshop5.jpg', 'coffeeshop6.jpg']",,,,,
concert,concert,"['concert1.jpg', 'concert3.jpg', 'concert4.jpg', 'concert5.jpg', 'concerthall1.jpg', 'concerthall2.jpg', 'concerthall5.jpg', 'concerthall6.jpg']",,,,,
concert_hall,concerthall,"['concerthall1.jpg', 'concerthall2.jpg', 'concerthall5.jpg', 'concerthall6.jpg']",,,,,
conference,conference,"['conference1.jpg', 'conference2.jpg', 'conference3.jpg', 'conference4.jpg']",,,,,
construction_site_outdoor,constructionSite,"['constructionSite1.jpg', 'constructionSite2.jpg', 'constructionSite3.jpg', 'constructionSite4.jpg']",construction,site,,,site.n.01
copy_room,copyroom,"['copyroom2.jpg', 'copyroom3.jpg', 'copyroom4.jpg', 'copyroom5.jpg']",copy,room,,,room.n.01
coral_reef,coralreef,"['coralreef.jpg', 'coralreef2.jpg', 'coralreef3.jpg', 'coralreef5.jpg']",,,,,
cornfield,cornfield,"['cornfield.jpg', 'cornfield2.jpg', 'cornfield3.jpg', 'cornfield4.jpg']",,,,,
courthouse,courthouse,"['courthouse1.jpg', 'courthouse2.jpg', 'courthouse3.jpg', 'courthouse4.jpg']",,,,,
courtroom,courtroom,"['courtroom.jpg', 'courtroom2.jpg', 'courtroom3.jpg', 'courtroom4.jpg']",,,,,
cubicle,cubicle,"['cubicle4.jpg', 'cubicle5.jpg', 'cubicle6.jpg', 'cubicle7.jpg']",,,,,
dance_studio,dancestudio,"['dancestudio3.jpg', 'dancestudio4.jpg', 'dancestudio5.jpg', 'dancestudio6.jpg']",dance,studio,,,studio.n.01
deck,deck,"['deck1.jpg', 'deck2.jpg', 'deck4.jpg', 'deck5.jpg']",,,,,
dentist,dentist,"['dentist1.jpg', 'dentist2.jpg', 'dentist3.jpg', 'dentist4.jpg']",,,,,
desert_sand+dune_outdoor,sandDunes_desert_outdoor,"['sandDunes_desert_outdoor.jpg', 'sandDunes_desert_outdoor3.jpg', 'sandDunes_desert_outdoor8.jpg', 'sandDunes_desert_outdoor9.jpg']",desert,sand+dune,,,dune.n.01
desert_vegetation_outdoor,desertvegetation,"['desertvegetation2.jpg', 'desertvegetation3.jpg', 'desertvegetation5.jpg', 'desertvegetation6.jpg']",desert,vegetation,,,vegetation.n.01
diner,diner,"['diner10.jpg', 'diner11.jpg', 'diner12.jpg', 'diner14.jpg']",,,,,
dining_car,dining_car,"['dining_car.jpg', 'dining_car2.jpg', 'dining_car3.jpg', 'dining_car6.jpg']",,,,,
dining_room,diningroom,"['diningroom1.jpg', 'diningroom3.jpg', 'diningroom5.jpg', 'diningroom7.jpg']",,,,,
dinosaur,dinosaur,"['dinosaur1.jpg', 'dinosaur2.jpg', 'dinosaur3.jpg', 'dinosaur4.jpg']",,,,,
dock,dock,"['dock1.jpg', 'dock2.jpg', 'dock3.jpg', 'dock4.jpg']",,,,,
doctor,doctor,"['doctor1.jpg', 'doctor3.jpg', 'doctor4.jpg', 'doctor6.jpg']",,,,,
dollhouse,dollhouse,"['dollhouse1.jpg', 'dollhouse3.jpg', 'dollhouse4.jpg', 'dollhouse5.jpg']",,,,,
dorm_room,dormroom,"['dormroom10.jpg', 'dormroom6.jpg', 'dormroom7.jpg', 'dormroom9.jpg']",,,,,
driveway,driveway,"['driveway4.jpg', 'driveway6.jpg', 'driveway7.jpg', 'driveway8.jpg']",,,,,
dry_cleaners,drycleaners,"['drycleaners1.jpg', 'drycleaners3.jpg', 'drycleaners4.jpg', 'drycleaners6.jpg']",dry,cleaners,,,cleaners.n.01
dry_mountains,drymountains,"['drymountains.jpg', 'drymountains3.jpg', 'drymountains5.jpg', 'drymountains6.jpg']",dry,mountains,,,mountain.n.01
dugout,dugout,"['dugout1.jpg', 'dugout2.jpg', 'dugout3.jpg', 'dugout4.jpg']",,,,,
elevator_exterior,elevatorOutside,"['elevatorOutside1.jpg', 'elevatorOutside2.jpg', 'elevatorOutside3.jpg', 'elevatorOutside4.jpg']",,elevator,,,elevator.n.01
exercise_equipment,exerciseequipment,"['exerciseequipment.jpg', 'exerciseequipment3.jpg', 'exerciseequipment4.jpg', 'exerciseequipment5.jpg']",exercise,equipment,,,equipment.n.01
eyeglass_store,eyeglassstore,"['eyeglassstore5.jpg', 'eyeglassstore7.jpg', 'eyeglassstore8.jpg', 'eyeglassstore9.jpg']",eyeglass,store,,,shop.n.01
fabric_store,fabricstore,"['fabricstore1.jpg', 'fabricstore2.jpg', 'fabricstore3.jpg', 'fabricstore4.jpg']",fabric,store,,,shop.n.01
factory,factory,"['factory1.jpg', 'factory5.jpg', 'factory6.jpg', 'factory7.jpg']",,,,,
farm,farm,"['farm1.jpg', 'farm2.jpg', 'farm3.jpg', 'farm4.jpg', 'farmersmarket2.jpeg', 'farmersmarket3.jpg', 'farmersmarket4.jpg', 'farmersmarket6.jpg']",,,,,
farmer_mart,farmersmarket,"['farmersmarket2.jpeg', 'farmersmarket3.jpg', 'farmersmarket4.jpg', 'farmersmarket6.jpg']",farmer,mart,,,marketplace.n.02
fire_escape,fireEscape,"['fireEscape.jpg', 'fireEscape10.jpg', 'fireEscape7.jpg', 'fireEscape8.jpg']",,,,,
fire_station,firestation,"['firestation2.jpg', 'firestation3.jpg', 'firestation4.jpg', 'firestation5.jpg']",,,,,
fireplace,fireplace,"['fireplace2.jpg', 'fireplace3.jpg', 'fireplace4.jpg', 'fireplace5.jpg']",,,,,
fish_market,fishmarket,"['fishmarket1.jpg', 'fishmarket2.jpg', 'fishmarket3.jpg', 'fishmarket4.jpg']",fish,market,,,marketplace.n.02
fitting_room_indoor,fittingroom,"['fittingroom2.jpg', 'fittingroom3.jpg', 'fittingroom4.jpg', 'fittingroom5.jpg']",fitting,room,,,room.n.01
flower_shop,flowershop,"['flowershop.jpg', 'flowershop2.jpg', 'flowershop3.jpg', 'flowershop4.jpg']",flower,shop,,,shop.n.01
food_court,foodcourt,"['foodcourt.jpg', 'foodcourt3.jpg', 'foodcourt6.jpg', 'foodcourt7.jpg']",,,,,
football_stadium,footballstadium,"['footballstadium.jpg', 'footballstadium2.jpg', 'footballstadium4.jpg', 'footballstadium5.jpg']",,,,,
forest_path,forestpath,"['forestpath10.jpg', 'forestpath2.jpg', 'forestpath4.jpg', 'forestpath6.jpg']",forest,path,,,path.n.04
fountain,fountain,"['fountain.jpg', 'fountain4.jpg', 'fountain7.jpg', 'fountain8.jpg']",,,,,
front_door,frontDoor,"['frontDoor.jpg', 'frontDoor2.jpg', 'frontDoor3.jpg', 'frontDoor5.jpg']",,,,,
front_foyer,frontFoyer,"['frontFoyer.jpg', 'frontFoyer4.jpg', 'frontFoyer6.jpg', 'frontFoyer7.jpg']",front,foyer,,,anteroom.n.01
front_lawn,frontLawn,"['frontLawn2.jpg', 'frontLawn3.jpg', 'frontLawn4.jpg', 'frontLawn5.jpg']",front,lawn,,,lawn.n.01
garbage_dump,garbagedump,"['garbagedump1.jpg', 'garbagedump2.jpg', 'garbagedump3.jpg', 'garbagedump4.jpg']",,,,,
gas_station,gasstation,"['gasstation2.jpg', 'gasstation6.jpg', 'gasstation7.jpg', 'gasstation8.jpg']",,,,,
gazebo,gazebo,"['gazebo.jpg', 'gazebo2.jpg', 'gazebo3.jpg', 'gazebo5.jpg']",,,,,
glaciers,glaciers_outdoor,"['glaciers_outdoor.jpg', 'glaciers_outdoor2.jpg', 'glaciers_outdoor3.jpg', 'glaciers_outdoor6.jpg']",,glaciers,,,glacier.n.01
golf_course,golfcourse,"['golfcourse10.jpg', 'golfcourse4.jpg', 'golfcourse6.jpg', 'golfcourse7.jpg']",,,,,
green_mountains,greenmountains,"['greenmountains.jpg', 'greenmountains3.jpg', 'greenmountains5.jpg', 'greenmountains6.jpg']",,,,,
greenhouse,greenhouse,"['greenhouse.jpg', 'greenhouse2.jpg', 'greenhouse3.jpg', 'greenhouse5.jpg']",,,,,
grocery_store,grocerystore,"['grocerystore2.jpg', 'grocerystore3.jpg', 'grocerystore5.jpg', 'grocerystore6.jpg']",,,,,
hallway,hallway,"['hallway.jpg', 'hallway2.jpg', 'hallway4.jpg', 'hallway5.jpg']",,,,,
harbor,harbor,"['harbor.jpg', 'harbor6.jpg', 'harbor7.jpg', 'harbor8.jpg']",,,,,
hardware_store,hardwarestore,"['hardwarestore1.jpg', 'hardwarestore2.jpg', 'hardwarestore3.jpg', 'hardwarestore4.jpg']",,,,,
hayfield,hayfield,"['hayfield4.jpg', 'hayfield5.jpg', 'hayfield6.jpg', 'hayfield7.jpg']",,,,,
highway,highway,"['highway.jpg', 'highway2.jpg', 'highway4.jpg', 'highway7.jpg']",,,,,
home_garage_indoor,homegarage,"['homegarage.jpg', 'homegarage2.jpg', 'homegarage3.jpg', 'homegarage4.jpg']",home,garage,,,garage.n.01
home_garden,homegarden,"['homegarden4.jpg', 'homegarden5.jpg', 'homegarden6.jpg', 'homegarden7.jpg']",home,garden,,,garden.n.01
home_office,homeoffice,"['homeoffice.jpg', 'homeoffice7.jpg', 'homeoffice8.jpg', 'homeoffice9.jpg']",,,,,
home_theater,hometheater,"['hometheater2.jpg', 'hometheater5.jpg', 'hometheater6.jpg', 'hometheater7.jpg']",,,,,
horse_barn,horsebarn,"['horsebarn11.jpg', 'horsebarn7.jpg', 'horsebarn8.jpg', 'horsebarn9.jpg']",,,,,
horse_racetrack,HorseRaceTrack,"['HorseRaceTrack.jpg', 'HorseRaceTrack2.jpg', 'HorseRaceTrack3.jpg', 'HorseRaceTrack4.jpg']",horse,racetrack,,,racetrack.n.01
hospital_room,hospitalroom,"['hospitalroom2.jpg', 'hospitalroom3.jpg', 'hospitalroom4.jpg', 'hospitalroom6.jpg']",,,,,
hot_tub,hottub,"['hottub2.jpg', 'hottub3.jpg', 'hottub4.jpg', 'hottub5.jpg']",,,,,
hotel_lobby,hotellobby,"['hotellobby2.jpg', 'hotellobby3.jpg', 'hotellobby4.jpg', 'hotellobby5.jpg']",hotel,lobby,,,anteroom.n.01
hotel_room,hotelRoom,"['hotelRoom.jpg', 'hotelRoom2.jpg', 'hotelRoom3.jpg', 'hotelRoom7.jpg']",,,,,
hut,hut,"['hut1.jpg', 'hut2.jpg', 'hut3.jpg', 'hut5.jpg']",,,,,
ice_cream,icecream,"['icecream1.jpg', 'icecream2.jpg', 'icecream3.jpg', 'icecream4.jpg']",,,,,
ice_rink,ice_rink,"['ice_rink10.jpg', 'ice_rink4.jpg', 'ice_rink5.jpg', 'ice_rink7.jpg']",,,,,
igloo,igloo,"['igloo.jpg', 'igloo2.jpg', 'igloo4.jpg', 'igloo5.jpg']",,,,,
island,island,"['island1.jpg', 'island2.jpg', 'island3.jpg', 'island4.jpg']",,,,,
iss,ISS,"['ISS1.jpg', 'ISS2.jpg', 'ISS3.jpg', 'ISS4.jpg']",,,,,
jail,jail,"['jail1.jpg', 'jail2.jpg', 'jail3.jpg', 'jail4.jpg']",,,,,
jewelry_store,jewelrystore,"['jewelrystore.jpg', 'jewelrystore3.jpg', 'jewelrystore6.jpg', 'jewelrystore8.jpg']",,,,,
kindergarten_classroom_indoor,kindergarten_classroom,"['kindergarten_classroom.jpg', 'kindergarten_classroom5.jpg', 'kindergarten_classroom6.jpg', 'kindergarten_classroom7.jpg']",kindergarten,classroom,,,classroom.n.01
kitchen,kitchen,"['kitchen.jpg', 'kitchen3.jpg', 'kitchen5.jpg', 'kitchen6.jpg']",,,,,
lab,lab,"['lab1.jpg', 'lab3.jpg', 'lab4.jpg', 'lab5.jpg', 'labClass1.jpg', 'labClass3.jpg', 'labClass5.jpg', 'labClass7.jpg']",,,,,
lab_classroom,labClass,"['labClass1.jpg', 'labClass3.jpg', 'labClass5.jpg', 'labClass7.jpg']",lab,classroom,,,classroom.n.01
lake,lake,"['lake2.jpg', 'lake3.jpg', 'lake5.jpg', 'lake6.jpg']",,,,,
lamp_store,lightingstore,"['lightingstore1.jpg', 'lightingstore2.jpg', 'lightingstore3.jpg', 'lightingstore4.jpg']",lamp,store,,,shop.n.01
laundromat,laundromat,"['laundromat1.jpg', 'laundromat2.jpeg', 'laundromat3.jpg', 'laundromat4.jpg']",,,,,
library_aisle_indoor,library_aisle,"['library_aisle10.jpg', 'library_aisle3.jpg', 'library_aisle8.jpg', 'library_aisle9.jpg']",library,aisle,,,aisle.n.02
liquor_store,liquorstore,"['liquorstore.jpg', 'liquorstore2.jpg', 'liquorstore7.jpg', 'liquorstore8.jpg']",,,,,
living_room,livingroom,"['livingroom.jpg', 'livingroom4.jpg', 'livingroom5.jpg', 'livingroom6.jpg']",,,,,
locker_room,lockerroom,"['lockerroom.jpg', 'lockerroom2.jpg', 'lockerroom3.jpg', 'lockerroom4.jpg']",,,,,
lookout,lookout,"['lookout2.jpg', 'lookout3.jpg', 'lookout4.jpg', 'lookout5.jpg']",,,,,
mall_indoor,mallindoor,"['mallindoor.jpg', 'mallindoor6.jpg', 'mallindoor7.jpg', 'mallindoor8.jpg']",,mall,,,plaza.n.02
martial+arts_class,martialartsclass,"['martialartsclass.jpg', 'martialartsclass2.jpg', 'martialartsclass4.jpg', 'martialartsclass6.jpg']",martial+arts,class,,,course.n.01
maze_outdoor,hedgemaze,"['hedgemaze1.jpg', 'hedgemaze2.jpg', 'hedgemaze3.jpeg', 'hedgemaze4.jpg']",,maze,,,maze.n.01
metro_interior,metroInside,"['metroInside1.jpg', 'metroInside2.jpg', 'metroInside3.jpg', 'metroInside4.jpg']",,metro,,,metro.n.01
mini_golf,minigolf,"['minigolf.jpg', 'minigolf2.jpg', 'minigolf3.jpg', 'minigolf8.jpg']",mini,golf,,,golf.n.01
movie_theater,movie_theater,"['movie_theater2.jpg', 'movie_theater4.jpg', 'movie_theater5.jpg', 'movie_theater6.jpg']",,,,,
mri,MRI,"['MRI1.jpg', 'MRI2.jpg', 'MRI3.jpg', 'MRI4.jpg']",,,,,
museum,museum,"['museum3.jpg', 'museum4.jpg', 'museum5.jpg', 'museum6.jpg']",,,,,
music_store_indoor,musicStore,"['musicStore1.jpg', 'musicStore2.jpg', 'musicStore3.jpg', 'musicStore4.jpg']",music,store,,,shop.n.01
nail_salon,nailsalon,"['nailsalon2.jpg', 'nailsalon4.jpg', 'nailsalon6.jpg', 'nailsalon7.jpg']",nail,salon,,,salon.n.0
newsstand,newsstand,"['newsstand2.jpg', 'newsstand4.jpg', 'newsstand5.jpg', 'newsstand7.jpg']",,,,,
nursery,nursery,"['nursery.jpg', 'nursery2.jpg', 'nursery4.jpg', 'nursery5.jpg']",,,,,
observatory,observatory,"['observatory1.jpg', 'observatory2.jpg', 'observatory3.jpg', 'observatory4.jpeg']",,,,,
office,office,"['office1.jpg', 'office2.jpg', 'office3.jpg', 'office4.jpg']",,,,,
olympic_swimming+pool,olympicswimmingpool,"['olympicswimmingpool.jpg', 'olympicswimmingpool5.jpg', 'olympicswimmingpool7.jpg', 'olympicswimmingpool8.jpg']",olympic,swimming+pool,,,swimming_pool.n.01
operating_room,operatingroom,"['operatingroom1.jpg', 'operatingroom3.jpg', 'operatingroom4.jpg', 'operatingroom5.jpg']",,,,,
pantry,pantry,"['pantry2.jpg', 'pantry5.jpg', 'pantry6.jpg', 'pantry8.jpg']",,,,,
park,park,"['park.jpg', 'park2.jpg', 'park7.jpg', 'park8.jpg', 'parkinggarage.jpg', 'parkinggarage2.jpg', 'parkinggarage3.jpg', 'parkinggarage4.jpg', 'parkinglot.jpg', 'parkinglot2.jpg', 'parkinglot3.jpg', 'parkinglot8.jpg']",,,,,
parking_indoor,parkinggarage,"['parkinggarage.jpg', 'parkinggarage2.jpg', 'parkinggarage3.jpg', 'parkinggarage4.jpg']",,parking,,,parking.n.01
parking_lot,parkinglot,"['parkinglot.jpg', 'parkinglot2.jpg', 'parkinglot3.jpg', 'parkinglot8.jpg']",,,,,
pasture,pasture,"['pasture.jpg', 'pasture3.jpg', 'pasture8.jpg', 'pasture9.jpg']",,,,,
pavilion,pavilion,"['pavilion.jpg', 'pavilion2.jpg', 'pavilion3.jpg', 'pavilion5.jpg']",,,,,
pharmacy,pharmacy,"['pharmacy.jpg', 'pharmacy2.jpg', 'pharmacy4.jpg', 'pharmacy6.jpg']",,,,,
photographer_studio,photographer_studio,"['photographer_studio1.jpg', 'photographer_studio2.jpg', 'photographer_studio3.jpg', 'photographer_studio4.jpg']",photographer,studio,,,studio.n.01
pier,pier,"['pier.jpg', 'pier2.jpg', 'pier3.jpg', 'pier5.jpg']",,,,,
pizzeria,pizzeria,"['pizzeria1.jpg', 'pizzeria2.jpg', 'pizzeria3.jpg', 'pizzeria4.jpg']",,,,,
planetarium,planetarium,"['planetarium1.jpg', 'planetarium2.jpg', 'planetarium3.jpg', 'planetarium4.jpg']",,,,,
playground,playground,"['playground10.jpg', 'playground6.jpg', 'playground7.jpg', 'playground9.jpg']",,,,,
playroom,playroom,"['playroom2.jpg', 'playroom3.jpeg', 'playroom4.jpg', 'playroom6.jpg']",,,,,
pond,pond,"['pond1.jpg', 'pond2.jpg', 'pond3.jpg', 'pond4.jpg']",,,,,
pool_hall_indoor,poolhall,"['poolhall1.jpg', 'poolhall2.jpeg', 'poolhall4.jpg', 'poolhall5.jpg']",pool,hall,,,hall.n.03
